year,month,total,minimum,maximum
1946,5,65.00,0.00,15.20
1946,6,32.70,0.00,19.80
1946,7,30.30,0.00,16.00
1946,8,3.00,0.00,3.00
1946,9,2.60,0.00,1.30
1946,10,8.40,0.00,7.90
1946,11,22.40,0.00,14.70
1946,12,24.90,0.00,15.20
1947,1,94.10,0.00,20.80
1947,2,504.20,0.00,186.70
1947,3,302.50,0.00,64.80
1947,4,120.20,0.00,43.90
1947,5,129.20,0.00,38.10
1947,6,68.80,0.00,15.20
1947,7,51.80,0.00,14.70
1947,8,219.00,0.00,131.60
1947,9,90.90,0.00,61.00
1947,10,70.90,0.00,15.20
1947,11,109.00,0.00,55.90
1947,12,39.30,0.00,15.70
1948,1,512.50,0.00,141.70
1948,2,159.30,0.00,52.10
1948,3,360.70,0.00,88.90
1948,4,84.70,0.00,19.10
1948,5,49.00,0.00,13.70
1948,6,139.10,0.00,51.30
1948,7,112.40,0.00,39.90
1948,8,64.00,0.00,19.80
1948,9,0.00,0.00,0.00
1948,10,0.00,0.00,0.00
1948,11,29.20,0.00,9.70
1948,12,156.70,0.00,95.50
1949,1,348.00,0.00,94.50
1949,2,574.50,0.00,190.00
1949,3,454.00,0.00,80.00
1949,4,358.30,0.00,203.70
1949,5,63.10,0.00,20.30
1949,6,15.30,0.00,6.40
1949,7,9.80,0.00,5.80
1949,8,74.70,0.00,12.70
1949,9,25.40,0.00,11.40
1949,10,2.50,0.00,2.50
1949,11,50.40,0.00,25.10
1949,12,132.40,0.00,57.40
1950,1,722.50,0.00,235.00
1950,2,336.60,0.00,103.40
1950,3,433.40,0.00,74.90
1950,4,459.90,0.00,118.10
1950,5,53.70,0.00,17.80
1950,6,76.60,0.00,31.20
1950,7,103.80,0.00,23.90
1950,8,0.50,0.00,0.50
1950,9,22.90,0.00,7.90
1950,10,33.50,0.00,20.30
1950,11,382.10,0.00,171.50
1950,12,548.00,0.00,97.80
1951,1,400.80,0.00,66.30
1951,2,67.50,0.00,20.30
1951,3,145.50,0.00,39.40
1951,4,17.60,0.00,11.70
1951,5,48.60,0.00,19.10
1951,6,43.50,0.00,19.10
1951,7,18.10,0.00,8.90
1951,8,28.50,0.00,7.10
1951,9,134.10,0.00,24.10
1951,10,51.20,0.00,17.80
1951,11,68.30,0.00,38.10
1951,12,9.90,0.00,8.90
1952,1,484.40,0.00,81.30
1952,2,180.10,0.00,40.10
1952,3,267.60,0.00,99.60
1952,4,153.70,0.00,55.90
1952,5,94.50,0.00,20.30
1952,6,14.40,0.00,11.40
1952,7,21.10,0.00,14.50
1952,8,97.20,0.00,48.30
1952,9,37.90,0.00,12.70
1952,10,49.00,0.00,25.40
1952,11,38.50,0.00,20.30
1952,12,41.50,0.00,15.50
1953,1,941.20,0.00,146.10
1953,2,265.10,0.00,92.70
1953,3,682.00,0.00,156.70
1953,4,254.50,0.00,77.00
1953,5,58.40,0.00,40.60
1953,6,35.80,0.00,10.20
1953,7,90.50,0.00,23.90
1953,8,43.50,0.00,15.00
1953,9,133.80,0.00,100.30
1953,10,16.50,0.00,14.20
1953,11,54.90,0.00,19.10
1953,12,125.90,0.00,38.40
1954,1,228.40,0.00,51.10
1954,2,327.80,0.00,59.90
1954,3,316.30,0.00,86.60
1954,4,287.60,0.00,42.70
1954,5,76.20,0.00,35.10
1954,6,95.70,0.00,24.10
1954,7,41.20,0.00,17.50
1954,8,108.70,0.00,20.60
1954,9,11.10,0.00,4.10
1954,10,120.70,0.00,35.10
1954,11,18.20,0.00,7.60
1954,12,51.70,0.00,17.50
1955,1,96.50,0.00,20.30
1955,2,922.10,0.00,127.00
1955,3,681.30,0.00,156.50
1955,4,205.80,0.00,54.60
1955,5,187.50,0.00,52.60
1955,6,177.70,0.00,48.50
1955,7,25.20,0.00,6.10
1955,8,24.20,0.00,13.70
1955,9,66.30,0.00,14.20
1955,10,55.60,0.00,28.20
1955,11,133.10,0.00,51.60
1955,12,30.20,0.00,15.20
1956,1,440.10,0.00,114.30
1956,2,267.00,0.00,50.30
1956,3,543.80,0.00,166.60
1956,4,155.10,0.00,33.50
1956,5,46.40,0.00,18.00
1956,6,46.20,0.00,27.70
1956,7,21.10,0.00,16.00
1956,8,29.00,0.00,13.20
1956,9,26.20,0.00,13.00
1956,10,34.80,0.00,19.30
1956,11,36.20,0.00,16.30
1956,12,322.50,0.00,83.10
1957,1,686.50,0.00,147.60
1957,2,385.00,0.00,149.10
1957,3,501.70,0.00,176.30
1957,4,116.90,0.00,36.10
1957,5,142.80,0.00,45.70
1957,6,130.10,0.00,30.70
1957,7,39.70,0.00,6.10
1957,8,0.00,0.00,0.00
1957,9,0.80,0.00,0.80
1957,10,14.50,0.00,9.10
1957,11,80.30,0.00,54.90
1957,12,57.40,0.00,30.20
1958,1,347.90,0.00,88.40
1958,2,527.10,0.00,136.10
1958,3,520.70,0.00,179.10
1958,4,251.00,0.00,137.90
1958,5,114.50,0.00,24.40
1958,6,79.70,0.00,29.70
1958,7,0.00,0.00,0.00
1958,8,41.40,0.00,14.70
1958,9,8.40,0.00,4.30
1958,10,2.30,0.00,1.30
1958,11,53.40,0.00,20.80
1958,12,87.90,0.00,48.30
1959,1,541.30,0.00,181.90
1959,2,299.40,0.00,77.20
1959,3,804.20,0.00,167.90
1959,4,176.90,0.00,36.30
1959,5,173.80,0.00,18.00
1959,6,121.30,0.00,49.80
1959,7,48.00,0.00,12.70
1959,8,118.10,0.00,28.40
1959,9,79.40,0.00,17.50
1959,10,0.00,0.00,0.00
1959,11,72.10,0.00,17.50
1959,12,286.70,0.00,121.90
1960,1,651.30,0.00,144.80
1960,2,276.90,0.00,99.60
1960,3,370.00,0.00,69.30
1960,4,47.00,0.00,10.20
1960,5,26.40,0.00,10.40
1960,6,62.10,0.00,22.10
1960,7,77.70,0.00,21.60
1960,8,10.30,0.00,3.00
1960,9,1.00,0.00,1.00
1960,10,19.60,0.00,15.00
1960,11,15.00,0.00,4.10
1960,12,53.30,0.00,14.20
1961,1,168.60,0.00,62.50
1961,2,62.20,0.00,10.40
1961,3,303.50,0.00,95.80
1961,4,169.60,0.00,31.00
1961,5,117.00,0.00,53.60
1961,6,8.10,0.00,2.80
1961,7,19.90,0.00,7.90
1961,8,18.30,0.00,8.90
1961,9,25.30,0.00,12.20
1961,10,26.60,0.00,18.80
1961,11,47.50,0.00,13.70
1961,12,111.40,0.00,43.40
1962,1,503.40,0.00,124.70
1962,2,478.40,0.00,130.60
1962,3,144.00,0.00,41.90
1962,4,140.10,0.00,41.70
1962,5,15.50,0.00,7.10
1962,6,109.00,0.00,30.70
1962,7,85.70,0.00,27.70
1962,8,17.50,0.00,14.20
1962,9,128.10,0.00,80.00
1962,10,0.00,0.00,0.00
1962,11,28.90,0.00,16.80
1962,12,37.50,0.00,5.10
1963,1,581.70,0.00,155.70
1963,2,959.40,0.00,169.20
1963,3,242.40,0.00,58.20
1963,4,524.70,0.00,240.80
1963,5,131.90,0.00,61.00
1963,6,30.10,0.00,17.80
1963,7,8.90,0.00,5.10
1963,8,13.00,0.00,8.90
1963,9,10.90,0.00,6.90
1963,10,65.00,0.00,16.00
1963,11,41.90,0.00,16.80
1963,12,114.40,0.00,40.60
1964,1,436.10,0.00,106.70
1964,2,393.70,0.00,136.10
1964,3,732.60,0.00,298.50
1964,4,121.00,0.00,42.90
1964,5,408.20,0.00,156.20
1964,6,10.20,0.00,4.60
1964,7,32.50,0.00,12.40
1964,8,22.20,0.00,7.90
1964,9,95.40,0.00,28.20
1964,10,136.00,0.00,38.40
1964,11,75.70,0.00,25.70
1964,12,296.70,0.00,233.90
1965,1,198.30,0.00,45.70
1965,2,376.50,0.00,110.00
1965,3,417.00,0.00,84.30
1965,4,242.40,0.00,75.90
1965,5,184.20,0.00,35.80
1965,6,204.50,0.00,62.20
1965,7,23.60,0.00,16.30
1965,8,7.20,0.00,3.60
1965,9,2.80,0.00,2.00
1965,10,54.40,0.00,21.30
1965,11,37.20,0.00,11.70
1965,12,175.30,0.00,30.50
1966,1,215.70,0.00,31.80
1966,2,83.60,0.00,38.10
1966,3,231.80,0.00,79.80
1966,4,124.80,0.00,25.10
1966,5,68.60,0.00,20.10
1966,6,73.80,0.00,14.20
1966,7,16.80,0.00,9.40
1966,8,64.50,0.00,14.20
1966,9,0.00,0.00,0.00
1966,10,11.30,0.00,3.60
1966,11,59.20,0.00,18.80
1966,12,71.10,0.00,15.70
1967,1,57.50,0.00,8.90
1967,2,550.00,0.00,228.10
1967,3,991.50,0.00,425.50
1967,4,156.50,0.00,40.60
1967,5,172.40,0.00,50.30
1967,6,113.20,0.00,51.10
1967,7,51.90,0.00,17.80
1967,8,13.30,0.00,5.30
1967,9,0.00,0.00,0.00
1967,10,41.30,0.00,29.50
1967,11,98.10,0.00,32.80
1967,12,37.50,0.00,19.10
1968,1,559.60,0.00,167.90
1968,2,794.10,0.00,237.50
1968,3,144.00,0.00,50.00
1968,4,220.10,0.00,122.20
1968,5,122.60,0.00,29.00
1968,6,10.20,0.00,7.90
1968,7,63.10,0.00,13.50
1968,8,23.90,0.00,21.60
1968,9,16.50,0.00,10.40
1968,10,9.90,0.00,5.10
1968,11,25.00,0.00,12.70
1968,12,43.10,0.00,21.60
1969,1,780.60,0.00,250.40
1969,2,221.60,0.00,78.50
1969,3,427.30,0.00,199.40
1969,4,70.70,0.00,22.40
1969,5,92.00,0.00,50.50
1969,6,99.30,0.00,25.70
1969,7,213.00,0.00,41.90
1969,8,30.00,0.00,8.40
1969,9,41.90,0.00,31.80
1969,10,39.70,0.00,17.80
1969,11,10.90,0.00,9.10
